Quantidade de comparaçoes na busca: 37425
chave: 5505, status: O
chave: 5500, status: O
chave: 21509, status: O
chave: 13508, status: O
chave: 5507, status: O
chave: 37507, status: O
chave: 29503, status: O
chave: 37504, status: O
chave: 37500, status: O
chave: 13502, status: O
chave: 5508, status: O
chave: 13505, status: O
chave: 85505, status: O
chave: 53510, status: O
chave: 37508, status: O
chave: 13503, status: O
chave: 37510, status: O
chave: 45503, status: O
chave: 69503, status: O
chave: 77508, status: O
chave: 45507, status: O
chave: 85500, status: O
chave: 85507, status: O
chave: 77501, status: O
chave: 45504, status: O
chave: 85503, status: O
chave: 29502, status: O
chave: 21507, status: O
chave: 85502, status: O
chave: 69500, status: O
chave: 69505, status: O
chave: 61504, status: O
chave: 61509, status: O
chave: 69509, status: O
chave: 77506, status: O
chave: 21504, status: O
chave: 61510, status: O
chave: 77509, status: O
chave: 45505, status: O
chave: 61508, status: O
chave: 53502, status: O
chave: 21500, status: O
chave: 61500, status: O
chave: 53501, status: O
chave: 85510, status: O
chave: 13501, status: O
chave: 53506, status: O
chave: 13509, status: O
chave: 53504, status: O
chave: 45510, status: O
chave: 53507, status: O
chave: 13506, status: O
chave: 5504, status: O
chave: 45509, status: O
chave: 37509, status: O
chave: 21506, status: O
chave: 45506, status: O
chave: 13510, status: O
chave: 45502, status: O
chave: 77503, status: O
chave: 53503, status: O
chave: 85508, status: O
chave: 5502, status: O
chave: 29509, status: O
chave: 21501, status: O
chave: 21505, status: O
chave: 69501, status: O
chave: 85506, status: O
chave: 13500, status: O
chave: 61505, status: O
chave: 77502, status: O
chave: 61501, status: O
chave: 85504, status: O
chave: 37503, status: O
chave: 29507, status: O
chave: 61502, status: O
chave: 21508, status: O
chave: 45500, status: O
chave: 53505, status: O
chave: 0, status: L
chave: 0, status: L
chave: 0, status: L
chave: 0, status: L
chave: 0, status: L
chave: 0, status: L
chave: 0, status: L
chave: 0, status: L
chave: 0, status: L
chave: 0, status: L
chave: 0, status: L
chave: 0, status: L
chave: 0, status: L
chave: 0, status: L
chave: 0, status: L
chave: 0, status: L
chave: 0, status: L
chave: 0, status: L
chave: 0, status: L
chave: 0, status: L
chave: 0, status: L
chave: 0, status: L
chave: 0, status: L
chave: 0, status: L
chave: 0, status: L
chave: 0, status: L
chave: 0, status: L
chave: 0, status: L
chave: 0, status: L
chave: 0, status: L
chave: 0, status: L
chave: 0, status: L
chave: 0, status: L
chave: 0, status: L
chave: 0, status: L
chave: 0, status: L
chave: 0, status: L
chave: 0, status: L
chave: 0, status: L
chave: 0, status: L
chave: 0, status: L
chave: 0, status: L
chave: 0, status: L
chave: 0, status: L
chave: 0, status: L
chave: 0, status: L
chave: 0, status: L
chave: 0, status: L
chave: 0, status: L
chave: 0, status: L
chave: 0, status: L
chave: 0, status: L
chave: 0, status: L
chave: 0, status: L
chave: 0, status: L
chave: 0, status: L
chave: 0, status: L
chave: 0, status: L
chave: 0, status: L
chave: 0, status: L
chave: 0, status: L
chave: 0, status: L
chave: 0, status: L
chave: 0, status: L
chave: 0, status: L
chave: 0, status: L
chave: 0, status: L
chave: 0, status: L
chave: 0, status: L
chave: 0, status: L
chave: 0, status: L
chave: 0, status: L
chave: 0, status: L
chave: 0, status: L
chave: 0, status: L
chave: 0, status: L
chave: 0, status: L
chave: 0, status: L
chave: 0, status: L
chave: 10500, status: O
chave: 18501, status: O
chave: 34501, status: O
chave: 26503, status: O
chave: 26504, status: O
chave: 50504, status: O
chave: 42503, status: O
chave: 42502, status: O
chave: 10504, status: O
chave: 18509, status: O
chave: 10503, status: O
chave: 82510, status: O
chave: 10505, status: O
chave: 58503, status: O
chave: 34509, status: O
chave: 82501, status: O
chave: 18508, status: O
chave: 66506, status: O
chave: 42509, status: O
chave: 26502, status: O
chave: 26500, status: O
chave: 58510, status: O
chave: 50505, status: O
chave: 2508, status: O
chave: 34503, status: O
chave: 58501, status: O
chave: 26505, status: O
chave: 2507, status: O
chave: 74501, status: O
chave: 26510, status: O
chave: 50508, status: O
chave: 50506, status: O
chave: 82502, status: O
chave: 74505, status: O
chave: 90507, status: O
chave: 2504, status: O
chave: 18500, status: O
chave: 10506, status: O
chave: 18504, status: O
chave: 66507, status: O
chave: 2510, status: O
chave: 2500, status: O
chave: 42500, status: O
chave: 82506, status: O
chave: 34500, status: O
chave: 82504, status: O
chave: 26501, status: O
chave: 50503, status: O
chave: 18510, status: O
chave: 74506, status: O
chave: 34508, status: O
chave: 2505, status: O
chave: 42510, status: O
chave: 26509, status: O
chave: 50507, status: O
chave: 2502, status: O
chave: 34504, status: O
chave: 66503, status: O
chave: 90504, status: O
chave: 58507, status: O
chave: 34505, status: O
chave: 42507, status: O
chave: 66508, status: O
chave: 82507, status: O
chave: 10501, status: O
chave: 74507, status: O
chave: 18502, status: O
chave: 58508, status: O
chave: 34510, status: O
chave: 90500, status: O
chave: 90502, status: O
chave: 74510, status: O
chave: 18507, status: O
chave: 50500, status: O
chave: 66504, status: O
chave: 90508, status: O
chave: 74509, status: O
chave: 2501, status: O
chave: 58505, status: O
chave: 82505, status: O
chave: 58506, status: O
chave: 82500, status: O
chave: 66505, status: O
chave: 42508, status: O
chave: 34506, status: O
chave: 82509, status: O
chave: 74502, status: O
chave: 10508, status: O
chave: 74504, status: O
chave: 42506, status: O
chave: 66509, status: O
chave: 34502, status: O
chave: 82508, status: O
chave: 66501, status: O
chave: 66500, status: O
chave: 74508, status: O
chave: 18503, status: O
chave: 2506, status: O
chave: 34507, status: O
chave: 18505, status: O
chave: 10509, status: O
chave: 26506, status: O
chave: 50502, status: O
chave: 74503, status: O
chave: 26507, status: O
chave: 50509, status: O
chave: 90506, status: O
chave: 90501, status: O
chave: 74500, status: O
chave: 50501, status: O
chave: 90503, status: O
chave: 50510, status: O
chave: 42501, status: O
chave: 10502, status: O
chave: 58504, status: O
chave: 18506, status: O
chave: 82503, status: O
chave: 58502, status: O
chave: 58509, status: O
chave: 10510, status: O
chave: 66510, status: O
chave: 2509, status: O
chave: 10507, status: O
chave: 66502, status: O
chave: 42505, status: O
chave: 26508, status: O
chave: 58500, status: O
chave: 90505, status: O
chave: 2503, status: O
chave: 42504, status: O
chave: 90509, status: O
chave: 0, status: L
chave: 0, status: L
chave: 0, status: L
chave: 0, status: L
chave: 0, status: L
chave: 0, status: L
chave: 0, status: L
chave: 0, status: L
chave: 0, status: L
chave: 0, status: L
chave: 0, status: L
chave: 0, status: L
chave: 0, status: L
chave: 0, status: L
chave: 0, status: L
chave: 0, status: L
chave: 0, status: L
chave: 0, status: L
chave: 0, status: L
chave: 0, status: L
chave: 0, status: L
chave: 0, status: L
chave: 0, status: L
chave: 0, status: L
chave: 0, status: L
chave: 0, status: L
chave: 0, status: L
chave: 0, status: L
chave: 0, status: L
chave: 0, status: L
chave: 0, status: L
chave: 0, status: L
chave: 0, status: L
chave: 0, status: L
chave: 0, status: L
chave: 0, status: L
chave: 0, status: L
chave: 0, status: L
chave: 0, status: L
chave: 0, status: L
chave: 0, status: L
chave: 0, status: L
chave: 0, status: L
chave: 0, status: L
chave: 0, status: L
chave: 0, status: L
chave: 0, status: L
chave: 0, status: L
chave: 0, status: L
chave: 0, status: L
chave: 0, status: L
chave: 0, status: L
chave: 0, status: L
chave: 0, status: L
chave: 0, status: L
chave: 0, status: L
chave: 0, status: L
chave: 0, status: L
chave: 0, status: L
chave: 0, status: L
chave: 0, status: L
chave: 0, status: L
chave: 0, status: L
chave: 0, status: L
chave: 0, status: L
chave: 0, status: L
chave: 0, status: L
chave: 0, status: L
chave: 0, status: L
chave: 71500, status: O
chave: 79501, status: O
chave: 31502, status: O
chave: 15503, status: O
chave: 47502, status: O
chave: 55505, status: O
chave: 87506, status: O
chave: 23507, status: O
chave: 71505, status: O
chave: 7509, status: O
chave: 31501, status: O
chave: 47504, status: O
chave: 87503, status: O
chave: 7510, status: O
chave: 39505, status: O
chave: 31508, status: O
chave: 15502, status: O
chave: 63510, status: O
chave: 55503, status: O
chave: 87505, status: O
chave: 63505, status: O
chave: 39510, status: O
chave: 47508, status: O
chave: 39506, status: O
chave: 87501, status: O
chave: 15507, status: O
chave: 87507, status: O
chave: 71507, status: O
chave: 55510, status: O
chave: 39507, status: O
chave: 47506, status: O
chave: 71508, status: O
chave: 55504, status: O
chave: 23510, status: O
chave: 23509, status: O
chave: 23505, status: O
chave: 39503, status: O
chave: 71509, status: O
chave: 7506, status: O
chave: 31510, status: O
chave: 71510, status: O
chave: 47505, status: O
chave: 71501, status: O
chave: 23506, status: O
chave: 63507, status: O
chave: 55500, status: O
chave: 7502, status: O
chave: 39504, status: O
chave: 87510, status: O
chave: 55502, status: O
chave: 39508, status: O
chave: 39509, status: O
chave: 15509, status: O
chave: 23501, status: O
chave: 31504, status: O
chave: 47503, status: O
chave: 15504, status: O
chave: 23500, status: O
chave: 47509, status: O
chave: 79509, status: O
chave: 15500, status: O
chave: 71502, status: O
chave: 47501, status: O
chave: 71503, status: O
chave: 7508, status: O
chave: 31503, status: O
chave: 55506, status: O
chave: 79507, status: O
chave: 79502, status: O
chave: 15510, status: O
